k,time,# contigs,N50,largest contig,total length
25,10:01.55,9,4891743,4891743,5605324
27,10:26.37,9,4974703,4974703,5603954
29,10:40.99,7,4911165,4911165,5588311
31,10:29.63,8,4875885,4875885,5594868
33,10:30.69,8,4892217,4892217,5607978
35,10:00.43,6,5453390,5453390,5613106
37,10:37.79,7,4910735,4910735,5587810
39,10:29.31,6,5231321,5231321,5587569
41,10:14.66,6,5231894,5231894,5588144
43,10:24.81,6,5434591,5434591,5591498
45,10:00.53,7,4913710,4913710,5642637
47,10:26.11,5,5452994,5452994,5605041
49,10:01.34,10,4913236,4913236,5644481
51,10:10.08,8,4941449,4941449,5615572
53,10:19.81,8,4868288,4868288,5588357
55,10:09.91,9,4566878,4566878,5587677
57,10:43.77,6,5231667,5231667,5587989
59,10:38.96,8,4871461,4871461,5587812
61,10:40.34,9,4573319,4573319,5608245
63,10:21.15,7,4910745,4910745,5637408
65,10:29.78,4,4909948,4909948,5589722
67,10:20.88,6,5125173,5125173,5601284
69,10:31.37,6,5453097,5453097,5612880
71,10:23.26,7,5231494,5231494,5595409
73,10:19.47,9,4573102,4573102,5608413
75,11:00.06,6,5231905,5231905,5588176
77,10:20.87,8,4567576,4567576,5607068
79,10:26.16,8,4910940,4910940,5595691
81,10:50.44,12,3412148,3412148,5595996
83,10:13.02,7,5231648,5231648,5595570
85,9:59.58,10,4941591,4941591,5600591
87,10:09.34,8,4874095,4874095,5615137
89,9:54.84,8,4888302,4888302,5597554
91,10:08.87,9,4573494,4573494,5608443
93,7:57.66,10,4570786,4570786,5591539
95,7:58.85,9,4554742,4554742,5597463
97,8:10.94,7,4910776,4910776,5587932
99,8:06.86,8,4888416,4888416,5589369
101,8:05.84,5,5453281,5453281,5605402
103,8:05.11,6,5231921,5231921,5625103
105,7:51.05,7,4910806,4910806,5637756
107,7:52.93,7,4910950,4910950,5637833
109,7:57.85,6,5232052,5232052,5625241
111,7:53.27,7,4911191,4911191,5588338
113,8:09.16,8,4914640,4914640,5659501
115,7:52.50,8,4911234,4911234,5591832
117,7:42.22,9,4573480,4573480,5608458
119,7:56.55,7,4911214,4911214,5588371
121,8:04.13,10,4570752,4570752,5591448
123,7:45.28,8,4911179,4911179,5591854
125,7:59.35,5,5452993,5452993,5605126
127,7:56.04,7,4910933,4910933,5637881
