k,Real/Flye Assembly time,Quorum Error Correcting time,Estimating Genome Size time,Super-Reads time,Mega-Reads time,Consensus Gap Joining time,# contigs,N50,largest contig,total length
15,8:28.81,26,56,99,169,197,3,3042888,3042888,3099795
17,6:23.96,24,50,60,101,124,3,3042859,3042859,3099675
19,6:17.63,25,51,58,98,122,3,3042923,3042923,3099739
21,6:22.41,24,51,58,99,123,3,3042871,3042871,3099685
23,6:21.32,26,53,60,102,126,3,3042894,3042894,3099801
25,6:11.20,20,45,51,94,118,3,3042893,3042893,3099800
27,6:17.54,24,52,59,101,125,3,3042968,3042968,3099784
29,6:12.37,25,48,55,96,120,2,3146127,3146127,3152147
31,6:22.57,24,52,58,98,122,3,3086884,3086884,3143700
33,6:20.41,25,52,58,98,123,3,3043148,3043148,3100051
35,6:24.59,24,51,57,97,122,3,3040874,3040874,3097689
37,6:11.51,25,51,58,97,121,2,3146130,3146130,3152149
39,6:22.36,25,51,58,96,121,3,3040875,3040875,3097690
41,6:11.05,25,49,55,92,117,3,3043154,3043154,3143553
43,6:17.95,25,46,53,96,121,3,3086383,3086383,3143285
45,6:25.55,25,51,57,102,127,3,3042886,3042886,3099791
47,6:15.50,25,49,56,98,123,2,3144773,3144773,3150793
49,6:21.15,25,49,56,99,123,3,3042987,3042987,3099803
51,6:29.54,25,49,56,101,126,3,3042884,3042884,3099700
53,6:19.90,24,48,55,98,123,2,3146118,3146118,3152138
55,6:25.79,25,49,55,98,123,3,3043302,3043302,3100208
57,6:28.61,25,48,54,98,124,3,3044420,3044420,3101324
59,6:17.57,24,47,54,96,121,3,3042985,3042985,3099801
61,6:20.00,25,50,57,99,123,3,3137518,3137518,3237918
63,6:20.44,25,50,57,97,123,3,3042860,3042860,3099763
65,6:20.79,24,49,56,101,126,3,3043138,3043138,3100041
67,6:17.97,24,49,55,100,125,2,3125112,3125112,3131132
69,6:20.37,24,48,55,96,122,3,3041016,3041016,3097832
71,6:21.44,25,48,55,100,125,3,3042886,3042886,3099789
73,6:19.96,25,49,56,101,127,3,3042887,3042887,3099795
75,6:21.92,25,49,56,100,126,3,3043137,3043137,3116602
77,6:22.30,25,47,54,97,123,2,3095954,3095954,3101884
79,6:20.96,25,49,55,100,126,3,3040864,3040864,3097679
81,6:23.89,25,48,55,97,123,3,3040845,3040845,3097662
83,6:27.22,25,48,55,102,128,3,3042880,3042880,3099696
85,6:23.53,25,46,53,98,124,3,3040859,3040859,3097674
87,6:27.24,27,47,53,97,123,3,3042978,3042978,3099794
89,6:18.36,25,48,54,96,122,3,3042879,3042879,3099785
91,6:41.62,24,45,52,115,141,3,3042895,3042895,3099711
93,6:20.08,25,47,54,94,120,3,3042896,3042896,3099710
95,6:25.55,25,48,54,96,122,3,3086387,3086387,3143202
97,6:14.28,25,45,52,93,119,3,3042985,3042985,3099801
99,6:13.56,25,46,53,93,119,2,3146119,3146119,3152139
101,6:15.05,24,46,52,93,119,3,3042887,3042887,3099795
103,6:12.22,24,45,52,94,120,3,3042886,3042886,3099794
105,6:16.64,26,47,53,94,120,3,3042986,3042986,3099651
107,6:22.75,25,47,53,95,122,3,3042891,3042891,3099706
109,6:20.87,25,48,54,99,126,3,3042887,3042887,3099795
111,6:19.26,25,46,52,97,124,3,3042886,3042886,3099702
113,6:19.33,25,45,51,96,123,3,3042984,3042984,3099800
115,6:17.67,25,45,51,94,121,3,3042887,3042887,3099795
117,6:19.77,25,44,50,97,124,3,3042888,3042888,3099796
119,6:21.20,25,45,52,98,125,3,3042888,3042888,3099792
121,6:35.12,25,46,52,110,137,3,3042888,3042888,3099703
123,6:17.33,25,43,50,94,122,3,3042987,3042987,3099803
125,6:24.13,25,45,51,94,121,3,3040866,3040866,3097681
127,6:23.37,25,46,52,96,123,3,3042988,3042988,3099803
129,6:22.03,24,44,50,96,124,3,3042985,3042985,3099800
131,6:25.07,25,44,50,99,127,3,3042896,3042896,3099712
133,6:22.51,25,44,50,95,123,3,3042887,3042887,3099703
135,6:17.74,24,43,50,95,123,3,3042987,3042987,3099803
137,6:21.59,25,44,51,95,122,3,3042889,3042889,3099704
139,6:20.34,25,43,50,93,121,3,3042889,3042889,3099795
141,6:20.70,25,43,50,94,122,3,3040867,3040867,3097682
143,6:19.53,25,43,50,93,121,3,3040867,3040867,3097682
145,6:12.33,25,43,49,92,118,3,3042986,3042986,3099802
147,6:17.21,24,42,48,92,119,3,3042887,3042887,3099703
149,6:15.23,24,42,48,91,117,3,3042887,3042887,3099790
151,6:15.01,25,43,50,93,119,3,3042888,3042888,3099795
