Long Read Count,Real/Flye Assembly time,Quorum Error Correcting time,Estimating Genome Size time,Super-Reads time,Mega-Reads time,Consensus Gap Joining time,# contigs,N50,largest contig,total length
456401,8:08.97,51,90,118,192,218,9,4567252,4567252,5585773
451267,7:58.03,51,89,117,184,211,9,4573502,4573502,5608362
446133,7:40.32,50,90,118,171,198,7,4910952,4910952,5588122
440999,7:41.11,51,90,119,171,198,8,4567767,4567767,5607565
435865,7:58.88,50,92,119,184,211,7,4910761,4910761,5587924
430731,7:45.51,51,90,117,170,196,10,4904841,4904841,5591497
425597,7:57.88,50,91,118,181,208,9,4650205,4650205,5580820
420463,7:41.08,49,91,117,174,201,8,4909835,4909835,5594634
415329,7:48.02,50,92,119,179,206,7,4910235,4910235,5587408
410195,7:40.76,50,91,117,179,206,8,4910918,4910918,5591836
405061,7:54.76,50,91,118,177,203,6,5231652,5231652,5587963
399927,7:52.72,50,98,124,189,215,9,4569434,4569434,5588468
394793,7:40.52,50,88,115,171,198,6,5453249,5453249,5609116
389659,7:59.62,50,98,125,186,213,8,4910952,4910952,5595769
384525,7:58.29,50,88,115,182,209,11,4910956,4910956,5587565
379391,7:59.92,51,100,125,185,211,7,4910949,4910949,5588109
374257,8:10.86,51,100,126,195,221,10,4910277,4910277,5579237
369123,7:40.87,51,93,118,168,194,7,5231672,5231672,5595657
363989,7:52.90,50,89,113,182,208,9,5118756,5118756,5579518
358855,7:48.08,50,93,118,180,206,11,5452374,5452374,5600054
353721,7:24.18,50,90,115,156,183,9,5435622,5435622,5581414
348587,8:05.51,50,89,114,198,224,8,5448012,5448012,5598346
343453,7:49.25,51,93,118,182,209,10,4902697,4902697,5578758
338319,7:25.25,51,91,116,159,185,9,5436017,5436017,5581799
333185,7:38.14,50,93,118,171,198,9,5451956,5451956,5597198
328051,7:40.55,50,90,114,177,204,9,5451955,5451955,5597073
322917,7:48.74,50,89,113,184,210,9,5435759,5435759,5581542
317783,7:51.35,50,91,114,179,205,12,4570730,4570730,5589789
312649,7:02.89,50,91,109,157,184,10,4795911,4795911,5584148
307515,7:34.53,49,91,114,170,195,10,4910504,4910504,5628773
302381,7:35.29,50,89,112,174,201,5,5231940,5231940,5624239
297247,7:33.44,50,90,113,174,199,5,5116032,5116032,5619385
292113,7:24.05,49,91,113,166,192,6,4911332,4911332,5587734
286979,7:26.36,52,87,109,157,182,6,4911080,4911080,5588024
281845,7:18.46,49,89,111,154,180,11,4899863,4899863,5580786
276711,7:30.56,50,91,113,171,197,12,4526747,4526747,5590928
271577,7:27.42,50,89,110,165,191,10,4911222,4911222,5579504
266443,7:22.43,49,91,112,163,189,13,4522383,4522383,5589855
261309,7:17.23,50,90,111,154,181,13,4566997,4566997,5580813
256175,7:28.35,50,90,113,166,192,10,4522387,4522387,5634185
251041,7:33.39,50,90,111,177,202,14,4519780,4519780,5635485
245907,7:29.44,51,91,113,180,205,8,4724469,4724469,5579642
240773,7:33.00,51,91,112,177,202,13,4558851,4558851,5558605
235639,7:33.68,50,89,111,175,200,10,4558974,4558974,5569633
230505,7:12.02,53,95,116,158,184,14,4560521,4560521,5573066
225371,7:33.72,51,92,113,180,205,14,4519779,4519779,5618466
220237,7:28.95,50,90,111,178,203,12,4520231,4520231,5586959
215103,7:25.79,50,91,112,171,197,13,4557926,4557926,5566804
209969,7:21.86,50,90,109,172,197,14,4522385,4522385,5625898
204835,7:18.24,51,91,110,165,190,13,4562577,4562577,5573174
199701,7:13.16,52,91,110,152,177,12,4719302,4719302,5559161
194567,7:10.66,52,92,110,162,187,6,4562709,4562709,5588324
189433,7:09.98,50,91,109,161,187,9,4560544,4560544,5583078
184299,7:19.36,51,91,110,167,192,8,4562713,4562713,5584257
179165,7:31.95,50,92,111,175,200,6,4560502,4560502,5586233
174031,7:25.23,50,90,109,169,195,13,4560920,4560920,5580733
168897,7:07.82,50,90,109,150,176,12,4723328,4723328,5582955
163763,7:04.56,50,90,108,153,178,13,4562674,4562674,5577880
158629,7:01.59,51,85,103,157,182,13,3797184,3797184,5570765
153495,7:27.20,50,91,109,164,189,12,4110007,4110007,5627750
148361,7:14.06,50,92,109,171,197,14,3771830,3771830,5538817
143227,7:11.56,50,90,108,160,186,9,4122972,4122972,5581909
138093,7:25.70,49,88,106,173,199,9,4551780,4551780,5587971
132959,7:14.87,50,89,106,164,190,8,4868078,4868078,5597781
127825,7:06.12,50,90,107,161,192,8,4867862,4867862,5597836
122691,7:24.55,50,91,109,170,195,5,4866768,4866768,5600305
117557,7:10.29,50,90,106,159,184,11,3797661,3797661,5582882
112423,6:57.68,50,90,106,160,184,11,5258877,5258877,5588629
107289,6:56.86,49,89,106,166,191,13,4108240,4108240,5602429
102155,6:38.45,53,93,108,148,172,7,4910524,4910524,5587697
97021,6:42.86,50,88,105,154,179,10,4123470,4123470,5596260
91887,6:50.79,51,90,106,156,182,8,4365042,4365042,5592527
86753,6:46.86,51,91,107,147,172,9,3784594,3784594,5580439
81619,6:47.20,50,84,100,147,172,10,4573047,4573047,5606676
76485,6:24.33,50,88,103,141,166,10,4023473,4023473,5571868
71351,6:28.40,50,91,106,144,168,10,4334801,4334801,5586414
66217,6:31.72,50,93,108,145,169,13,3791107,3791107,5567083
61083,6:44.43,50,90,105,156,184,9,4336407,4336407,5572052
55949,6:39.09,52,92,107,145,168,13,3250459,3250459,5600806
50815,6:37.22,49,90,105,156,179,12,3800190,3800190,5598828
