All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    100_mer_trial  110_mer_trial  120_mer_trial  25_mer_trial  35_mer_trial  45_mer_trial  55_mer_trial  65_mer_trial  75_mer_trial  85_mer_trial  95_mer_trial
# contigs (>= 0 bp)         7              8              8              5             7             10            6             11            5             8             6           
# contigs (>= 1000 bp)      7              8              8              5             7             10            6             11            5             8             6           
# contigs (>= 5000 bp)      5              6              5              3             5             8             4             9             3             6             3           
# contigs (>= 10000 bp)     5              6              5              3             5             7             4             6             3             6             3           
# contigs (>= 25000 bp)     5              6              5              3             5             6             4             5             3             6             3           
# contigs (>= 50000 bp)     5              6              5              3             5             4             4             3             3             6             3           
Total length (>= 0 bp)      5587605        5589365        5591799        5588590       5588408       5577426       5586696       5597347       5601188       5592766       5608487     
Total length (>= 1000 bp)   5587605        5589365        5591799        5588590       5588408       5577426       5586696       5597347       5601188       5592766       5608487     
Total length (>= 5000 bp)   5581493        5582734        5581698        5581981       5581776       5570794       5580064       5590716       5594556       5586135       5598413     
Total length (>= 10000 bp)  5581493        5582734        5581698        5581981       5581776       5563993       5580064       5566512       5594556       5586135       5598413     
Total length (>= 25000 bp)  5581493        5582734        5581698        5581981       5581776       5544369       5580064       5544192       5594556       5586135       5598413     
Total length (>= 50000 bp)  5581493        5582734        5581698        5581981       5581776       5486445       5580064       5486275       5594556       5586135       5598413     
# contigs                   7              8              8              5             7             10            6             11            5             8             6           
Largest contig              4910998        4888348        4911172        5436471       4911335       5053828       5230368       5118599       5449108       4886356       5452912     
Total length                5587605        5589365        5591799        5588590       5588408       5577426       5586696       5597347       5601188       5592766       5608487     
GC (%)                      50.63          50.63          50.63          50.63         50.63         50.63         50.63         50.64         50.65         50.64         50.64       
N50                         4910998        4888348        4911172        5436471       4911335       5053828       5230368       5118599       5449108       4886356       5452912     
N75                         4910998        4888348        4911172        5436471       4911335       5053828       5230368       5118599       5449108       4886356       5452912     
L50                         1              1              1              1             1             1             1             1             1             1             1           
L75                         1              1              1              1             1             1             1             1             1             1             1           
# N's per 100 kbp           0.00           0.00           0.00           0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00        
