Long Read Count,Real/Flye Assembly time,Quorum Error Correcting time,Estimating Genome Size time,Super-Reads time,Mega-Reads time,Consensus Gap Joining time,# contigs,N50,largest contig,total length
456401,8:08.97,51,90,118,192,218,9,4567252,4567252,5585773
451267,7:58.03,51,89,117,184,211,9,4573502,4573502,5608362
446133,7:40.32,50,90,118,171,198,7,4910952,4910952,5588122
440999,7:41.11,51,90,119,171,198,8,4567767,4567767,5607565
435865,7:58.88,50,92,119,184,211,7,4910761,4910761,5587924
430731,7:45.51,51,90,117,170,196,10,4904841,4904841,5591497
425597,7:57.88,50,91,118,181,208,9,4650205,4650205,5580820
420463,7:41.08,49,91,117,174,201,8,4909835,4909835,5594634
415329,7:48.02,50,92,119,179,206,7,4910235,4910235,5587408
410195,7:40.76,50,91,117,179,206,8,4910918,4910918,5591836
405061,7:54.76,50,91,118,177,203,6,5231652,5231652,5587963
399927,7:52.72,50,98,124,189,215,9,4569434,4569434,5588468
394793,7:40.52,50,88,115,171,198,6,5453249,5453249,5609116
389659,7:59.62,50,98,125,186,213,8,4910952,4910952,5595769
384525,7:58.29,50,88,115,182,209,11,4910956,4910956,5587565
379391,7:59.92,51,100,125,185,211,7,4910949,4910949,5588109
374257,8:10.86,51,100,126,195,221,10,4910277,4910277,5579237
369123,7:40.87,51,93,118,168,194,7,5231672,5231672,5595657
363989,7:52.90,50,89,113,182,208,9,5118756,5118756,5579518
358855,7:48.08,50,93,118,180,206,11,5452374,5452374,5600054
353721,7:24.18,50,90,115,156,183,9,5435622,5435622,5581414
348587,8:05.51,50,89,114,198,224,8,5448012,5448012,5598346
343453,7:49.25,51,93,118,182,209,10,4902697,4902697,5578758
338319,7:25.25,51,91,116,159,185,9,5436017,5436017,5581799
333185,7:38.14,50,93,118,171,198,9,5451956,5451956,5597198
328051,7:40.55,50,90,114,177,204,9,5451955,5451955,5597073
322917,7:48.74,50,89,113,184,210,9,5435759,5435759,5581542
317783,7:51.35,50,91,114,179,205,12,4570730,4570730,5589789
312649,7:02.89,50,91,109,157,184,10,4795911,4795911,5584148
