threads,Real/Flye Assembly time,Quorum Error Correcting time,Estimating Genome Size time,Super-Reads time,Mega-Reads time,Consensus Gap Joining time,# contigs,N50,largest contig,total length
5,16:21.14,218,350,379,503,545,9,4554757,4554757,5597392
10,10:46.21,117,189,216,298,325,6,5300559,5300559,5617165
15,9:05.86,84,137,166,218,245,8,4891521,4891521,5644357
20,8:35.41,69,113,143,217,244,7,4910951,4910951,5637923
25,8:00.69,60,102,131,186,213,6,4910917,4910917,5582558
30,8:05.36,57,99,128,188,215,9,4567121,4567121,5585619
35,8:01.17,53,94,123,188,215,7,4910947,4910947,5637916
40,7:41.03,50,96,125,168,196,7,4910954,4910954,5587869
45,8:06.78,48,88,116,186,213,8,4888262,4888262,5589280
50,8:08.27,49,88,117,187,214,8,4886361,4886361,5592717
55,7:50.87,47,82,111,168,194,8,4910948,4910948,5595762
60,7:50.88,48,82,111,167,194,8,4911183,4911183,5595996
65,8:24.18,49,89,118,186,213,9,4567264,4567264,5609814
70,8:09.16,49,91,119,175,203,9,4573483,4573483,5608471
75,8:24.21,51,91,122,188,215,7,4910898,4910898,5588020
80,8:07.82,50,91,120,164,191,8,4911167,4911167,5591860
85,8:22.94,51,93,121,189,216,7,4911249,4911249,5638051
90,8:31.45,53,95,125,186,213,8,4909577,4909577,5594276
95,8:28.93,51,93,123,185,212,7,4909893,4909893,5589198
100,8:26.30,54,94,124,180,207,8,4910928,4910928,5595745
