Assembly	assembly
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	5587985
Total length (>= 1000 bp)	5587985
Total length (>= 5000 bp)	5581352
Total length (>= 10000 bp)	5581352
Total length (>= 25000 bp)	5581352
Total length (>= 50000 bp)	5581352
# contigs	6
Largest contig	4910926
Total length	5587985
GC (%)	50.63
N50	4910926
N75	4910926
L50	1
L75	1
# N's per 100 kbp	0.00
